기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=기존 UID → 신규 UID 매핑 (2026-05-18 일괄 변경)
=
CASE-BEQ-PUREB-001                  → CASE-BEQ-000001
CASE-COOL-HAF700-001                → CASE-COOL-000003
CASE-COOL-NR200P-001                → CASE-COOL-000001
CASE-COOL-TD500-001                 → CASE-COOL-000002
CASE-CORS-4000D-001                 → CASE-CORS-000001
CASE-CORS-5000D-001                 → CASE-CORS-000002
CASE-CORS-7000D-001                 → CASE-CORS-000003
CASE-DEEP-CH560-001                 → CASE-DEEP-000002
CASE-DEEP-CK500-001                 → CASE-DEEP-000001
CASE-FRAC-MESH2C-001                → CASE-FRAC-000001
CASE-FRAC-NORTH-001                 → CASE-FRAC-000002
CASE-FRAC-TORRENT-001               → CASE-FRAC-000003
CASE-LANL-216-001                   → CASE-LANL-000001
CASE-LANL-O11D-001                  → CASE-LANL-000002
CASE-LANL-O11M-001                  → CASE-LANL-000003
CASE-NZXT-H510-001                  → CASE-NZXT-000001
CASE-NZXT-H7-001                    → CASE-NZXT-000002
CASE-NZXT-H9-001                    → CASE-NZXT-000003
CASE-PHAN-G500A-001                 → CASE-PHAN-000002
CASE-PHAN-P400A-001                 → CASE-PHAN-000001
CPU-AMD-5600-001                    → CPU-AMD-000001
CPU-AMD-5700X-001                   → CPU-AMD-000002
CPU-AMD-5800X3D-001                 → CPU-AMD-000003
CPU-AMD-7600-001                    → CPU-AMD-000004
CPU-AMD-7600X-001                   → CPU-AMD-000005
CPU-AMD-7700X-001                   → CPU-AMD-000006
CPU-AMD-7800X3D-001                 → CPU-AMD-000007
CPU-AMD-7950X-001                   → CPU-AMD-000008
CPU-INTL-12100F-001                 → CPU-INTL-000001
CPU-INTL-12400F-001                 → CPU-INTL-000002
CPU-INTL-12600K-001                 → CPU-INTL-000003
CPU-INTL-12700K-001                 → CPU-INTL-000004
CPU-INTL-13400F-001                 → CPU-INTL-000005
CPU-INTL-13600K-001                 → CPU-INTL-000006
CPU-INTL-13700K-001                 → CPU-INTL-000007
CPU-INTL-13900K-001                 → CPU-INTL-000008
CPU-INTL-14400F-001                 → CPU-INTL-000009
CPU-INTL-14600K-001                 → CPU-INTL-000010
CPU-INTL-14700K-001                 → CPU-INTL-000011
CPU-INTL-14900K-001                 → CPU-INTL-000012
GPU-AMD-6600-001                    → GPU-AMD-000001
GPU-AMD-6700XT-001                  → GPU-AMD-000002
GPU-AMD-6800XT-001                  → GPU-AMD-000003
GPU-AMD-7700XT-001                  → GPU-AMD-000004
GPU-AMD-7800XT-001                  → GPU-AMD-000005
GPU-AMD-7900XTX-001                 → GPU-AMD-000006
GPU-NV-3050-001                     → GPU-NV-000001
GPU-NV-3060-001                     → GPU-NV-000002
GPU-NV-3060TI-001                   → GPU-NV-000003
GPU-NV-3070-001                     → GPU-NV-000004
GPU-NV-3070TI-001                   → GPU-NV-000005
GPU-NV-3080-001                     → GPU-NV-000006
GPU-NV-3090-001                     → GPU-NV-000007
GPU-NV-4060-001                     → GPU-NV-000008
GPU-NV-4060TI-001                   → GPU-NV-000009
GPU-NV-4070-001                     → GPU-NV-000010
GPU-NV-4070S-001                    → GPU-NV-000011
GPU-NV-4070TI-001                   → GPU-NV-000012
GPU-NV-4070TIS-001                  → GPU-NV-000013
GPU-NV-4080-001                     → GPU-NV-000014
GPU-NV-4080S-001                    → GPU-NV-000015
GPU-NV-4090-001                     → GPU-NV-000016
MB-ASRK-B760-001                    → MB-ASRK-000001
MB-ASRK-Z790-001                    → MB-ASRK-000002
MB-ASUS-B550-001                    → MB-ASUS-000007
MB-ASUS-B650-001                    → MB-ASUS-000006
MB-ASUS-B660M-001                   → MB-ASUS-000001
MB-ASUS-B760M-001                   → MB-ASUS-000003
MB-ASUS-X570-001                    → MB-ASUS-000008
MB-ASUS-X670E-001                   → MB-ASUS-000005
MB-ASUS-Z690-A-001                  → MB-ASUS-000002
MB-ASUS-Z790-A-001                  → MB-ASUS-000004
MB-GBYT-B650-001                    → MB-GBYT-000004
MB-GBYT-B760-001                    → MB-GBYT-000001
MB-GBYT-X570-001                    → MB-GBYT-000005
MB-GBYT-X670E-001                   → MB-GBYT-000003
MB-GBYT-Z790-001                    → MB-GBYT-000002
MB-MSI-B550-001                     → MB-MSI-000007
